variable name	type	Formato	variable label	significado	
o_20a64per0	double	%10.0g	origin 20-64 years old % person		
o_65mper0	double	%10.0g	origin 65+ years old % person		
ooffenders0	long	%9.0g	origin # offenders		
ofid	int	%10.0g	fid		
oX	double	%10.0g	origin coordenate x		
oY	double	%10.0g	origin coordenate y		
oarea	double	%10.0g	area		
oid	int	%10.0g	id		
obu_code	str10	%10s	bu_code	codigo del vecindario	buurten
owk_code	str8	%9s	wk_code	codigo del distrito	wijken
ogm_code	str6	%9s	gm_code	codigo del municipio	gemeenten
ogm_naam	str13	%13s	gm_naam	nombre del municipio	
opostcode	str4	%9s	postcode	origen codigo postal	
obuurtnr	float	%9.0g	Neighborhood number (The Hague local code)		
ogwbcode	double	%9.0g	Neighborhood number (CBS classification code)		
ocrimes0	double	%9.0g	origin # crimes by n'hood offenders	origen número de crimenes	
ounsafe_me09	double	%10.0g	origin unsafety feelings		
oviolent_mea09	double	%10.0g	origin perception violent crime mean		
oproperty_me~09	double	%10.0g	origin perception property crime mean		
odeltol_mean09	double	%10.0g	origin tolerance to crime		
onr_resp09	byte	%10.0g	origin number of respondents		
ocbdX	float	%9.0g	origin coordenate x to cbd		
ocbdY	float	%9.0g	origin coordenate y to cbd		
daantal_laag~s0	double	%10.0g	destination number of low-income housing		
daantal_mid_~s0	double	%10.0g	destination number of mid-income housing		
daantal_hoog~s0	double	%10.0g	destination number of high-income housing		
daantal_laag~r0	double	%10.0g	%destination number of low-income housing		
daantal_mid_~r0	double	%10.0g	%destination number of mid-income housing		
daantal_hoog~r0	double	%10.0g	%destination number of high-income housing		
daantal_werk_~0	double	%10.0g	destination # of people working		
dhuish_ha0	double	%10.0g	destination house per ha		
dinw_ha0	double	%10.0g	destination people per ha		
dp_m2_0	double	%10.0g	destination average price per m2		
dhouse_0	int	%10.0g	destination stiock of houses		
dscholen0	byte	%10.0g	destination # school		
dinwoners0	float	%9.0g	destionation # of people		
d_0a190	int	%10.0g	destination 0-19 years old person		
d_20a640	int	%10.0g	destination 20-64 years old person		
d_65m0	int	%10.0g	destination 65+ years old person		
d_0a19per0	double	%10.0g	destination 0-19 years old % person		
d_20a64per0	double	%10.0g	destination 20-64 years old % person		
d_65mper0	double	%10.0g	destination 65+ years old % person		
doffenders0	long	%9.0g	destination # offenders		
dfid	int	%10.0g	fid		
dX	double	%10.0g	destination coordenate x		
dY	double	%10.0g	destination coordenate y		
darea	double	%10.0g	area		
did	int	%10.0g	id		
dbu_code	str10	%10s	bu_code		
dwk_code	str8	%9s	wk_code		
dgm_code	str6	%9s	gm_code		
dgm_naam	str13	%13s	gm_naam		
dpostcode	str4	%9s	postcode		
dbuurtnr	float	%9.0g	Neighborhood number (The Hague local code)		
dgwbcode	double	%9.0g	Neighborhood number (CBS classification code)		
dcrimes0	double	%9.0g	destination # crimes by n'hood offenders		
dunsafe_me09	double	%10.0g	destination unsafety feelings		
dviolent_mea09	double	%10.0g	destination perception violent crime mean		
dproperty_me~09	double	%10.0g	destination perception property crime mean		
ddeltol_mean09	double	%10.0g	destination tolerance to crime		
dnr_resp09	byte	%10.0g	destionation number of respondents		
dcbdX	float	%9.0g	destination coordenate x to cbd		
dcbdY	float	%9.0g	destination coordenate y to cbd		
Distance	float	%9.0g	distance to other neighborhood		
CBD	float	%9.0g	distance to the CBD		
Xmp	float	%9.0g	X for middle point between o-d	coordenada x punto medio entre los vecindarios	
Ymp	float	%9.0g	Y for middle point between o-d	coordenada y punto medio entre los vecindarios	
DOmp	float	%9.0g	distance from origin to middle point	distancia destino origen al punto medio	
DDmp	float	%9.0g	distance from destination to middle point		
migra0	int	%14.2f	internal migration flows	flujos de reubicacion	
omigra0	float	%9.0g	origin migrants		
dmigra0	float	%9.0g	destination migrants		
oattracties	float	%9.0g	origin amenities	origen atracciones	
dattracties	float	%9.0g	destination amenities	destino atracciones	
pairid	float	%9.0g	group(obuurtnr dbuurtnr)	id por pareja de vecindarios	
NUM	float	%9.0g			
DEN	float	%9.0g			
iqd	float	%9.0g	Index of qualitative dissimilarity	"Composición étnica que se calculó a través del índice de disimilitud cuantitativa, IQD, que refleja la probabilidad de que un miembro aleatorio de la zona i y un miembro aleatorio de la zona j son del mismo origen étnico (BERNASCO, Block y Ruiter, 2012)."	
opersonalcrime	float	%9.0g	origin crime to people		
opropertycrime	float	%9.0g	origin crime to property		
dpersonalcrime	float	%9.0g	destination crime to people		
dpropertycrime	float	%9.0g	destination crime to property		
oofficeskm	float	%9.0g	origin offices per km2		
ocompanieskm	float	%9.0g	origin companies per km2		
dofficeskm	float	%9.0g	destination offices per km2		
dcompanieskm	float	%9.0g	destination companies per km2		
l1operscrim	float	%9.0g	origin one year lagged violent crime		
l2operscrim	float	%9.0g	origin two year lagged violent crime		
l1dperscrim	float	%9.0g	destination one year lagged violent crime		
l2dperscrim	float	%9.0g	destination two year lagged violent crime		
l1opropscrim	float	%9.0g	origin one year lagged property crime		
l2opropscrim	float	%9.0g	origin two year lagged property crime		
l1dpropscrim	float	%9.0g	destination one year lagged property crime		
l2dpropscrim	float	%9.0g	destination two year lagged property crime		
bigpersonal	float	%9.0g	"intervening oportunities (violentcrime ), big circle"	origen crimenes personales en un radio de la distancia entre los vecindarios	
bigproperty	float	%9.0g	"intervening oportunities (property crime ), big circle"	origen crimenes a propiedad en un radio de la distancia entre los vecindarios	
bigattracties	float	%9.0g	"intervening oportunities (ammenities crime ), big circle"	origen atracciones en un radio de la distancia entre los vecindarios	
dum1	byte	%8.0g	2003		
dum2	byte	%8.0g	2004		
dum3	byte	%8.0g	2005		
dum4	byte	%8.0g	2006		
dum5	byte	%8.0g	2007		
dum6	byte	%8.0g	2008		
dum7	byte	%8.0g	2009		
migramean0	float	%9.0g	mean internal migration		
ocrimeperslow~c	float	%9.0g	origin violent crime*low income people		
dcrimeperslow~c	float	%9.0g	destination violent crime*low income people		
ocrimeproplow~c	float	%9.0g	origin property crime*low income people		
dcrimeproplow~c	float	%9.0g	destination property crime*low income people		
ocrimeperslow~m	float	%9.0g	origin violent crime*ammenities		
dcrimeperslow~m	float	%9.0g	destination violent crime*ammenities		
ocrimeproplow~m	float	%9.0g	origin property crime*ammenities		
dcrimeproplow~m	float	%9.0g	destination property crime*ammenities		
diffmigra0	float	%9.0g	First difference internal migration		
diffoperscrime	float	%9.0g	First difference violent crime		
diffopropcrime	float	%9.0g	First difference property crime		
diffdperscrime	float	%9.0g	First difference violent crime		
diffdpropcrime	float	%9.0g	First difference property crime		
smapersonal	float	%9.0g	"intervening opportunities (violent crime, small circle)"	origen crimenes personales en un diámetro de la distancia entre los vecindarios	
smaproperty	float	%9.0g	"intervening opportunities (property crime, small circle)"	origen crimenes a propiedad en un diámetro de la distancia entre los vecindarios	
smattracties	float	%9.0g	"intervening opportunities (attracties, small circle)"	origen atracciones en un diámetro de la distancia entre los vecindarios	
